t,YA,YB,YC,YD,T
1.4046822742474918e-05,0.999625270149701,0.0003747293034050566,5.468951122527772e-10,7.503663525043791e-18,375.80908186165493
1.4147157190635452e-05,0.9996252322380802,0.0003747672150026834,5.469182621606823e-10,7.503732312212228e-18,375.6953469414501
1.4247491638795988e-05,0.9996251946181586,0.00037480483490142025,5.469412140933491e-10,7.503800441308832e-18,375.5824871190038
1.4347826086956522e-05,0.9996251572856448,0.00037484216739242643,5.469639711304823e-10,7.503867923236513e-18,375.4704895208217
1.4448160535117058e-05,0.9996251202363439,0.00037487921667079356,5.469865362800326e-10,7.503934768632086e-18,375.359341561612
1.4548494983277594e-05,0.9996250834661626,0.00037491598682963366,5.47008912473488e-10,7.504000987847455e-18,375.2490309620226
1.4648829431438128e-05,0.9996250469710868,0.0003749524818832996,5.470311025841289e-10,7.504066591021525e-18,375.1395456789791
1.4749163879598664e-05,0.9996250107471825,0.00037498870576559655,5.470531094255586e-10,7.504131588074119e-18,375.0308739110506
1.4849498327759198e-05,0.9996249747906031,0.0003750246623231913,5.470749357464592e-10,7.504195988685036e-18,374.92300411822157
1.4949832775919733e-05,0.9996249390975893,0.000375060355315242,5.470965842302578e-10,7.504259802292553e-18,374.8159250230029
1.5050167224080269e-05,0.9996249036644477,0.0003750957884354555,5.471180575124062e-10,7.504323038161185e-18,374.7096255442592
1.5150501672240803e-05,0.9996248684875628,0.0003751309652990337,5.471393581700745e-10,7.504385705340908e-18,374.6040948363711
1.5250836120401339e-05,0.9996248335634035,0.00037516588943725963,5.471604887178859e-10,7.504447812650328e-18,374.49932230547523
1.5351170568561875e-05,0.9996247988884993,0.00037520056432045485,5.471814516258388e-10,7.504509368746667e-18,374.3952975405937
1.545150501672241e-05,0.9996247644594511,0.0003752349933478334,5.472022493113263e-10,7.504570382094337e-18,374.2920103440706
1.5551839464882943e-05,0.9996247302729313,0.00037526917984698573,5.472228841386974e-10,7.504630860963059e-18,374.1894507331221
1.565217391304348e-05,0.9996246963256804,0.0003753031270774801,5.472433584220329e-10,7.504690813438534e-18,374.08760892903047
1.5752508361204014e-05,0.9996246626144963,0.0003753368382412428,5.472636744332116e-10,7.504750247453793e-18,373.9864753260044
1.585284280936455e-05,0.9996246291362418,0.0003753703164755347,5.472838343963894e-10,7.504809170767452e-18,373.8860405122488
1.5953177257525086e-05,0.9996245958878499,0.00037540356484742416,5.473038404836569e-10,7.504867590946634e-18,373.78629528654693
1.605351170568562e-05,0.9996245628663015,0.000375436586376054,5.473236948323649e-10,7.50492551543437e-18,373.6872305914586
1.6153846153846154e-05,0.9996245300686378,0.00037546938401997914,5.473433995352167e-10,7.504982951510802e-18,373.58883755130717
1.625418060200669e-05,0.9996244974919606,0.0003755019606777363,5.473629566406842e-10,7.505039906294683e-18,373.49110747047166
1.6354515050167226e-05,0.9996244651334286,0.00037553431919029714,5.473823681548847e-10,7.505096386750533e-18,373.39403182602575
1.645484949832776e-05,0.9996244329902472,0.00037556646235247654,5.474016360504229e-10,7.505152399722878e-18,373.2976022335143
1.6555183946488297e-05,0.9996244010596755,0.0003755983929049574,5.474207622601553e-10,7.505207951911853e-18,373.2018104708773
1.665551839464883e-05,0.9996243693390324,0.00037563011352919815,5.47439748673218e-10,7.505263049857725e-18,373.10664849373
1.6755852842809365e-05,0.9996243378256782,0.00037566162686459014,5.474585971483049e-10,7.505317699992193e-18,373.01210838388744
1.68561872909699e-05,0.9996243065170224,0.00037569293550157937,5.474773095083051e-10,7.5053719086175e-18,372.9181823700017
1.6956521739130437e-05,0.9996242754105239,0.0003757240419816144,5.474958875402386e-10,7.505425681906075e-18,372.82486282771754
1.705685618729097e-05,0.9996242445036921,0.00037575494879490696,5.475143329935052e-10,7.505479025893675e-18,372.73214228638983
1.7157190635451505e-05,0.9996242137940748,0.0003757856583938627,5.475326475902359e-10,7.505531946519214e-18,372.6400133887923
1.7257525083612042e-05,0.9996241832792656,0.0003758161731849566,5.475508330189924e-10,7.505584449600338e-18,372.5484689154907
1.7357859531772576e-05,0.9996241529569043,0.00037584649552810644,5.475688909342689e-10,7.505636540831458e-18,372.45750178672284
1.745819397993311e-05,0.9996241228246721,0.00037587662774241955,5.475868229608974e-10,7.505688225800581e-18,372.36710504515736
1.7558528428093648e-05,0.999624092880288,0.00037590657210865615,5.476046306959245e-10,7.505739509996419e-18,372.277271848505
1.7658862876254182e-05,0.9996240631215124,0.00037593633086665043,5.476223157066041e-10,7.505790398800595e-18,372.18799547725456
1.7759197324414716e-05,0.9996240335461499,0.0003759659062115669,5.476398795275008e-10,7.505840897476451e-18,372.0992693459041
1.7859531772575253e-05,0.999624004152037,0.0003759953003069992,5.476573236705422e-10,7.50589101120751e-18,372.01108696366424
1.7959866220735788e-05,0.9996239749370491,0.0003760245152775549,5.476746496192988e-10,7.50594074507545e-18,371.9234419567045
1.806020066889632e-05,0.9996239458991003,0.00037605355320919216,5.476918588292256e-10,7.505990104060972e-18,371.83632806714223
1.816053511705686e-05,0.9996239170361418,0.0003760824161505615,5.477089527286758e-10,7.506039093047588e-18,371.74973914901756
1.8260869565217393e-05,0.9996238883461549,0.00037611110612057277,5.477259327246892e-10,7.506087716843694e-18,371.6636691455938
1.8361204013377927e-05,0.9996238598271558,0.0003761396251026967,5.477428001986008e-10,7.506135980165685e-18,371.57811210645104
1.8461538461538465e-05,0.9996238314771966,0.00037616797504524344,5.477595565062423e-10,7.506183887638675e-18,371.49306218665095
1.8561872909699e-05,0.999623803294365,0.0003761961578601184,5.477762029769717e-10,7.506231443792715e-18,371.4085136504706
1.8662207357859533e-05,0.9996237752767737,0.0003762241754348553,5.477927409228723e-10,7.506278653097818e-18,371.324460835301
1.8762541806020067e-05,0.9996237474225685,0.000376252029623637,5.4780917163186e-10,7.506325519937596e-18,371.24089817858726
1.8862876254180604e-05,0.9996237197299268,0.00037627972224908317,5.478254963690401e-10,7.506372048614375e-18,371.1578202124627
1.896321070234114e-05,0.999623692197061,0.00037630725509865866,5.4784171637395e-10,7.506418243338652e-18,371.07522157452604
1.9063545150501672e-05,0.9996236648222045,0.000376334629938934,5.478578328714346e-10,7.506464108270381e-18,370.99309696505935
1.916387959866221e-05,0.9996236376036222,0.00037636184850540263,5.478738470638561e-10,7.50650964748929e-18,370.91144117757545
1.9264214046822744e-05,0.9996236105396064,0.00037638891250528576,5.478897601332234e-10,7.506554865002922e-18,370.8302490904042
1.9364548494983278e-05,0.9996235836284828,0.00037641582361302463,5.479055732377481e-10,7.506599764733541e-18,370.7495156802154
1.9464882943143815e-05,0.9996235568685964,0.0003764425834836942,5.479212875220425e-10,7.506644350556693e-18,370.6692359817782
1.956521739130435e-05,0.9996235302583205,0.0003764691937439275,5.47936904110199e-10,7.506688626274945e-18,370.58940511518705
1.9665551839464884e-05,0.999623503796054,0.00037649565599485064,5.479524241080114e-10,7.506732595626246e-18,370.5100182770575
1.976588628762542e-05,0.9996234774802261,0.00037652197180740267,5.479678485994145e-10,7.506776262270451e-18,370.43107075456675
1.9866220735785955e-05,0.9996234513092839,0.00037654814273430386,5.479831786555524e-10,7.506819629823472e-18,370.3525578895478
1.996655518394649e-05,0.9996234252817006,0.00037657417030232516,5.479984153289027e-10,7.506862701835078e-18,370.2744751016823
2.0066889632107023e-05,0.9996233993959728,0.0003766000560150036,5.48013559655326e-10,7.506905481796567e-18,370.1968178803531
2.016722408026756e-05,0.9996233736506246,0.0003766258013481039,5.480286126506211e-10,7.50694797312778e-18,370.1195817982609
2.0267558528428095e-05,0.9996233480441975,0.0003766514077601433,5.480435753184811e-10,7.506990179206965e-18,370.0427624798479
2.036789297658863e-05,0.9996233225752567,0.00037667687668617406,5.480584486457775e-10,7.507032103353018e-18,369.96635561995237
2.0468227424749166e-05,0.9996232972423883,0.0003767022095397299,5.480732336040243e-10,7.507073748830934e-18,369.89035697796754
2.05685618729097e-05,0.9996232720442051,0.0003767274077082729,5.480879311459275e-10,7.507115118838815e-18,369.81476239150226
2.0668896321070234e-05,0.9996232469793352,0.00037675247256350726,5.481025422131708e-10,7.507156216537066e-18,369.7395677454382
2.0769230769230772e-05,0.999623222046428,0.0003767774054563054,5.481170677325709e-10,7.507197045033913e-18,369.66476898715337
2.0869565217391306e-05,0.9996231972441525,0.00037680220771731766,5.481315086165307e-10,7.507237607387072e-18,369.59036212469175
2.096989966555184e-05,0.9996231725711985,0.00037682688065698795,5.481458657630422e-10,7.507277906603724e-18,369.5163432267166
2.1070234113712377e-05,0.9996231480262804,0.00037685142556081536,5.481601400521055e-10,7.507317945627071e-18,369.4427084367258
2.117056856187291e-05,0.9996231236081231,0.0003768758437039026,5.481743323566918e-10,7.50735772737735e-18,369.3694539294063
2.1270903010033446e-05,0.9996230993154728,0.00037690013634004917,5.481884435345099e-10,7.507397254720968e-18,369.2965759433551
2.1371237458193983e-05,0.9996230751470936,0.0003769243047052399,5.482024744306283e-10,7.507436530480287e-18,369.2240707706131
2.1471571906354517e-05,0.99962305110177,0.00037694835001493614,5.482164258754308e-10,7.507475557425949e-18,369.1519347647913
